Fire Station,Neighborhood
1,South of Market
2,Chinatown
3,Tenderloin
4,Mission Bay
5,Fillmore District
6,Castro
7,Mission District
8,South Beach
9,Dog Patch
10,Presidio Heights
11,Noe Valley
12,Haight-Ashbury
13,Financial District
14,Outer Richmond
15,Ingleside
16,Marina District
16,Marina Green
16,Fort Mason
17,Bayview-Hunters Point
18,Outer Parkside
19,Stonestown Galleria
19,Fort Funston
20,Laguna Honda Reservoir
21,Panhandle
22,Sunset District
23,Outer Sunset District
24,Eureka Valley
25,Dog Patch
26,Glen Park
28,North Beach
29,Design District
31,Inner Richmond
32,College Hill
33,Oceanview
34,Lands End
35,Pier 22+1?2
36,Civic Center
37,Potrero Hill
38,Pacific Heights
39,Forest Hill
40,Inner Parkside
41,Nob Hill
42,Portola
43,Excelsior
44,Visitacion Valley
48,Treasure Island
49,India Basin
51,Presidio of San Francisco
