Station,Type,Unit,Fire Station,facility_id
1,E,E01,1,691
1,T,T01,1,691
10,E,E10,10,692
10,T,T10,10,692
11,E,E11,11,693
11,T,T11,11,693
12,E,E12,12,694
12,T,T12,12,694
13,E,E13,13,695
13,T,T13,13,695
14,E,E14,14,696
14,T,T14,14,696
15,E,E15,15,697
15,T,T15,15,697
16,E,E16,16,698
16,T,T16,16,698
17,E,E17,17,699
17,T,T17,17,699
18,E,E18,18,700
18,T,T18,18,700
19,E,E19,19,701
19,T,T19,19,701
2,E,E02,2,702
2,T,T02,2,702
20,E,E20,20,703
21,E,E21,21,704
22,E,E22,22,705
23,E,E23,23,706
24,E,E24,24,707
25,E,E25,25,708
26,E,E26,26,709
28,E,E28,28,710
29,E,E29,29,711
3,E,E03,3,712
3,T,T03,3,712
31,E,E31,31,713
32,E,E32,32,714
33,E,E33,33,715
34,E,E34,34,716
35,E,E35,35,738
36,E,E36,36,717
37,E,E37,37,718
38,E,E38,38,719
39,E,E39,39,720
4,E,E04,4,1208
4,T,T04,4,1208
40,E,E40,40,723
41,E,E41,41,724
42,E,E42,42,725
43,E,E43,43,726
44,E,E44,44,727
47,E,E47,,45530
48,E,E48,48,728
48,T,T48,48,728
5,E,E05,5,729
5,T,T05,5,729
53,E,E53,,45530
6,E,E06,6,730
6,T,T06,6,730
7,E,E07,7,731
7,T,T07,7,731
71,E,E71,,45530
72,E,E72,,45530
73,E,E73,,45530
74,E,E74,,45530
75,E,E75,,45530
8,E,E08,8,733
8,T,T08,8,733
81,E,E81,,45530
82,E,E82,,45530
83,E,E83,,45530
84,E,E84,,45530
85,E,E85,,45530
9,E,E09,9,734
9,T,T09,9,734
F1,T,TF1,,45530
F2,T,TF2,,45530
F3,T,TF3,,45530
F4,T,TF4,,45530
F6,T,TF6,,45530
F8,T,TF8,,45530
F9,T,TF9,,45530
