Unit,Type,Station
T03,T,3
E19,E,19
T11,T,11
E11,E,11
E02,E,2
T04,T,4
E16,E,16
T07,T,7
T19,T,19
T09,T,9
E17,E,17
E08,E,8
T14,T,14
E38,E,38
T05,T,5
T16,T,16
E24,E,24
E36,E,36
E01,E,1
E03,E,3
E34,E,34
T06,T,6
E29,E,29
E41,E,41
E25,E,25
E10,E,10
E07,E,7
E32,E,32
E18,E,18
E22,E,22
E13,E,13
E37,E,37
T12,T,12
T17,T,17
E31,E,31
E43,E,43
E42,E,42
E44,E,44
E12,E,12
T01,T,1
E09,E,9
E06,E,6
E05,E,5
E21,E,21
E15,E,15
E20,E,20
T02,T,2
T13,T,13
T08,T,8
E33,E,33
E14,E,14
T48,T,48
E48,E,48
T15,T,15
E23,E,23
E26,E,26
T18,T,18
E39,E,39
E35,E,35
T10,T,10
E51,E,51
E40,E,40
E04,E,4
E28,E,28
E83,E,83
E74,E,74
E82,E,82
E81,E,81
E84,E,84
E85,E,85
E71,E,71
E53,E,53
T51,T,51
E47,E,47
E72,E,72
E75,E,75
E73,E,73
TF2,T,F2
TF6,T,F6
TF3,T,F3
TF4,T,F4
TF8,T,F8
TF1,T,F1
TF9,T,F9
